Model,Train_MAE,Train_RMSE,Train_R2,Test_MAE,Test_RMSE,Test_R2,R2_Gap
Random Forest,1.6611632610208638,2.594911268001658,0.9654261457942804,4.007238250579167,5.925472538970661,0.8221789553445407,0.14324719044973977
Decision Tree,0.5358870258844501,1.8141495339369589,0.983101469667726,4.824719551282051,7.316178091243404,0.7289148579512043,0.2541866117165218
Linear Regression,7.230518350485238,9.049664772382595,0.5794982996490012,7.394239268521339,9.204722569794786,0.570899930799174,0.008598368849827231
