Fold,Train_MAE,Validation_MAE,Train_RMSE,Validation_RMSE,Train_R2,Validation_R2
1,1.65854405727184,3.832434465439187,2.5522087166649694,5.572285617087485,0.9666205465195403,0.8392905425536915
2,1.6344727227889997,3.8778770293369007,2.518861103986605,5.697363775724821,0.9672451818870209,0.8368541211105752
3,1.6330752170696634,3.9441643762110696,2.514065384030982,5.783015015060863,0.9675256578255296,0.8287196685583954
4,1.6278588792053859,3.9613104932970753,2.5300610816738534,5.783106649886234,0.9670259909428257,0.8304273736288538
5,1.62051869203809,3.9476300361772667,2.5123761627433963,5.7288263317569115,0.9678257910716804,0.82638967418018
