Fold,Train_MAE,Validation_MAE,Train_RMSE,Validation_RMSE,Train_R2,Validation_R2
1,3.354534120415491,3.7461325843461823,4.840161624856071,5.395403904222793,0.8801062172371662,0.8485220401161783
2,3.3639595167159246,3.701652729914338,4.849825683044891,5.376723072492718,0.8782014665661027,0.856382548806891
3,3.3768477830166126,3.68976158455995,4.900545085909415,5.199757377940682,0.8773926135455954,0.8577203062850891
4,3.371605090300196,3.815034069574014,4.868133005763871,5.4609118160284265,0.8779292362959942,0.8487727939479561
5,3.3101287656378213,3.809711069134868,4.81063662236175,5.489204402765445,0.8814749942742204,0.8437040643067192
